rank,companyName,careersUrl,regionPriority,priorityTier,whyImportant,notes,ats_vendor
1485,280 Group,https://productside.com/careers,North America,3,Validated broad company careers expansion,city=Los Gatos; state=CA; category=Technology; validated=accept_verified_careers_page; status=200; reachable careers URL with careers/jobs content signal,company-site
1486,2C2P,https://2c2p.com/careers,Singapore,3,Validated broad company careers expansion,"location=Singapore; employees=51-200; raised=$10,000,000; category=Startup/Private; validated=accept_verified_careers_page; status=200; reachable careers URL with careers/jobs content signal",company-site
1487,500 Startups,https://500.co/careers,Mountain View,3,Validated broad company careers expansion,"location=Mountain View; employees=51-200; raised=$73,900,000; category=Startup/Private; validated=accept_verified_careers_page; status=200; reachable careers URL with careers/jobs content signal",company-site
1488,80Twenty,https://www.80twenty.com/careers,North America,3,Validated broad company careers expansion,city=San Francisco; state=CA; category=Technology; validated=accept_verified_careers_page; status=200; reachable careers URL with careers/jobs content signal,company-site
1490,A.O. Smith,https://www.aosmith.com/careers,North America,3,Validated broad company careers expansion,"industry=Electronics, Electrical Equip.; sector=Industrials; rank=911; category=Industrials; validated=accept_verified_careers_page; status=200; reachable careers URL with careers/jobs content signal",company-site
1491,Abacus,https://www.emburse.com/company/careers,New York City,3,Validated broad company careers expansion,"location=New York City; employees=11-50; raised=$3,500,000; category=Startup/Private; validated=accept_verified_careers_page; status=200; reachable careers URL with careers/jobs content signal",company-site
1492,ABM Industries,https://www.abm.com/careers,North America,3,Validated broad company careers expansion,industry=Diversified Outsourcing Services; sector=Business Services; rank=515; category=Business Services; validated=accept_verified_careers_page; status=200; reachable careers URL with careers/jobs content signal,company-site
1493,Abstract,https://www.goabstract.com/careers,North America,3,Validated broad company careers expansion,city=San Francisco; state=CA; category=Technology; validated=accept_verified_careers_page; status=200; reachable careers URL with careers/jobs content signal,company-site
1494,Academy Sports and Outdoors,https://careers.academy.com/us/en,North America,3,Validated broad company careers expansion,rank=481; employees=16508; category=Large Employers; validated=accept_verified_careers_page; status=200; reachable careers URL with careers/jobs content signal,company-site
1495,AdRoll,https://www.nextroll.com/careers,North America,3,Validated broad company careers expansion,city=San Francisco; state=CA; category=Technology; validated=accept_verified_careers_page; status=200; reachable careers URL with careers/jobs content signal,company-site
1496,ADT,https://jobs.adt.com,North America,3,Validated broad company careers expansion,industry=Diversified Outsourcing Services; sector=Business Services; rank=689; category=Business Services; validated=accept_verified_careers_page; status=200; reachable careers URL with careers/jobs content signal,company-site
1497,AES,https://www.aes.com/about-us/careers,North America,3,Validated broad company careers expansion,industry=Utilities: Gas and Electric; sector=Energy; rank=178; category=Energy; validated=accept_verified_careers_page; status=200; reachable careers URL with careers/jobs content signal,company-site
1498,AEye,https://www.aeye.ai/careers,North America,3,Validated broad company careers expansion,city=Pleasanton; state=CA; category=Technology; validated=accept_verified_careers_page; status=200; reachable careers URL with careers/jobs content signal,company-site
1499,Aflac,https://careers.aflac.com,North America,3,Validated broad company careers expansion,"industry=Insurance: Life, Health (stock); sector=Financials; rank=132; category=Financials; validated=accept_verified_careers_page; status=200; reachable careers URL with careers/jobs content signal",company-site
1501,AgSquared,https://agsquared.com/careers,Washington DC,3,Validated broad company careers expansion,"location=Washington DC; employees=1-10; raised=$1,200,000; category=Startup/Private; validated=accept_verified_careers_page; status=200; reachable careers URL with careers/jobs content signal",company-site
1502,Aidin,https://www.myaidin.com/careers,North America,3,Validated broad company careers expansion,category=Healthcare; type=Private; city=New York; state=NY; category=Healthcare; validated=accept_verified_careers_page; status=200; reachable careers URL with careers/jobs content signal,company-site
1503,AIG,https://www.aig.com:443/careers,North America,3,Validated broad company careers expansion,industry=Insurance: Property and Casualty (Stock); sector=Financials; rank=46; category=Financials; validated=accept_verified_careers_page; status=200; reachable careers URL with careers/jobs content signal,company-site
1504,Air Products & Chemicals,https://www.airproducts.com:443/careers,North America,3,Validated broad company careers expansion,industry=Chemicals; sector=Chemicals; rank=284; category=Chemicals; validated=accept_verified_careers_page; status=200; reachable careers URL with careers/jobs content signal,company-site
1505,Aktana,https://www.aktana.com/careers,North America,3,Validated broad company careers expansion,city=San Francisco; state=CA; category=Technology; validated=accept_verified_careers_page; status=200; reachable careers URL with careers/jobs content signal,company-site
1506,Alaska Air Group,https://careers.alaskaair.com/jobs?lid=vanity-careers,North America,3,Validated broad company careers expansion,industry=Airlines; sector=Transportation; rank=484; category=Transportation; validated=accept_verified_careers_page; status=200; reachable careers URL with careers/jobs content signal,company-site
1507,Albemarle,https://www.albemarle.com/global/en/careers,North America,3,Validated broad company careers expansion,industry=Chemicals; sector=Chemicals; rank=837; category=Chemicals; validated=accept_verified_careers_page; status=200; reachable careers URL with careers/jobs content signal,company-site
1508,Alcoa,https://www.alcoa.com/careers/en,North America,3,Validated broad company careers expansion,industry=Metals; sector=Materials; rank=125; category=Materials; validated=accept_verified_careers_page; status=200; reachable careers URL with careers/jobs content signal,company-site
1509,Allbirds,https://www.allbirds.com/pages/careers,North America,3,Validated broad company careers expansion,city=San Francisco; state=CA; category=Technology; validated=accept_verified_careers_page; status=200; reachable careers URL with careers/jobs content signal,company-site
1512,Alliance Holdings,http://www.arlp.com/careers,North America,3,Validated broad company careers expansion,"industry=Mining, Crude-Oil Production; sector=Energy; rank=926; category=Energy; validated=accept_verified_careers_page; status=200; reachable careers URL with careers/jobs content signal",company-site
1513,Alliant Energy,https://www.alliantenergy.com/careers,North America,3,Validated broad company careers expansion,industry=Utilities: Gas and Electric; sector=Energy; rank=697; category=Energy; validated=accept_verified_careers_page; status=200; reachable careers URL with careers/jobs content signal,company-site
