company_name,company_key,domain,company_careers_url,detected_ats,discovery_status,source_count,validated_source_count,polled_source_count,connectors,source_types,jobs_created_total,jobs_accepted_total,retained_live_total,last_successful_poll_at,from_csv_seed,sample_source_urls,regionPriority,priorityTier,research_notes,candidate_origin_files,dedupe_basis,normalizedCompanyKey,normalizedCareersUrl,decision
Armis,armis,armis.com,https://www.armis.com/careers/,company-site,DISCOVERED,1,0,0,company-site,COMPANY_HTML,0,0,0,,true,https://www.armis.com/careers/,Global,1,Official careers page,international_startup_careers_import_net_new_500plus.csv,excluded if normalized company_name/company_key/domain/company_careers_url/sample_source_urls matched uploaded compact list,armis,https://armis.com/careers,duplicate_existing_seed_csv
Arctic Wolf,arcticwolf,arcticwolf.com,https://arcticwolf.com/careers/,company-site,DISCOVERED,1,0,0,company-site,COMPANY_HTML,0,0,0,,true,https://arcticwolf.com/careers/,North America,1,Official careers page,international_startup_careers_import_net_new_500plus.csv,excluded if normalized company_name/company_key/domain/company_careers_url/sample_source_urls matched uploaded compact list,arcticwolf,https://arcticwolf.com/careers,duplicate_existing_seed_csv
Cognition,cognition,cognition.ai,https://cognition.ai/careers,company-site,DISCOVERED,1,0,0,company-site,COMPANY_HTML,0,0,0,,true,https://cognition.ai/careers,North America,1,Official careers page,international_startup_careers_import_net_new_500plus.csv,excluded if normalized company_name/company_key/domain/company_careers_url/sample_source_urls matched uploaded compact list,cognition,https://cognition.ai/careers,duplicate_existing_seed_csv
Commonwealth Fusion Systems,commonwealthfusionsystems,cfs.energy,https://cfs.energy/careers,company-site,DISCOVERED,1,0,0,company-site,COMPANY_HTML,0,0,0,,true,https://cfs.energy/careers,North America,1,Official careers page,international_startup_careers_import_net_new_500plus.csv,excluded if normalized company_name/company_key/domain/company_careers_url/sample_source_urls matched uploaded compact list,commonwealthfusionsystems,https://cfs.energy/careers,duplicate_existing_seed_csv
Eightfold AI,eightfoldai,eightfold.ai,https://eightfold.ai/careers/,company-site,DISCOVERED,1,0,0,company-site,COMPANY_HTML,0,0,0,,true,https://eightfold.ai/careers/,North America,1,Official careers page,international_startup_careers_import_net_new_500plus.csv,excluded if normalized company_name/company_key/domain/company_careers_url/sample_source_urls matched uploaded compact list,eightfoldai,https://eightfold.ai/careers,duplicate_existing_seed_csv
Flock Safety,flocksafety,flocksafety.com,https://www.flocksafety.com/careers,company-site,DISCOVERED,1,0,0,company-site,COMPANY_HTML,0,0,0,,true,https://www.flocksafety.com/careers,North America,1,Official careers page,international_startup_careers_import_net_new_500plus.csv,excluded if normalized company_name/company_key/domain/company_careers_url/sample_source_urls matched uploaded compact list,flocksafety,https://flocksafety.com/careers,duplicate_existing_seed_csv
Form Energy,formenergy,formenergy.com,https://formenergy.com/careers,company-site,DISCOVERED,1,0,0,company-site,COMPANY_HTML,0,0,0,,true,https://formenergy.com/careers,North America,1,Official careers page,international_startup_careers_import_net_new_500plus.csv,excluded if normalized company_name/company_key/domain/company_careers_url/sample_source_urls matched uploaded compact list,formenergy,https://formenergy.com/careers,duplicate_existing_seed_csv
Helion Energy,helionenergy,helionenergy.com,https://www.helionenergy.com/careers,company-site,DISCOVERED,1,0,0,company-site,COMPANY_HTML,0,0,0,,true,https://www.helionenergy.com/careers,North America,1,Official careers page,international_startup_careers_import_net_new_500plus.csv,excluded if normalized company_name/company_key/domain/company_careers_url/sample_source_urls matched uploaded compact list,helionenergy,https://helionenergy.com/careers,duplicate_existing_seed_csv
Island,island,island.io,https://www.island.io/careers/,company-site,DISCOVERED,1,0,0,company-site,COMPANY_HTML,0,0,0,,true,https://www.island.io/careers/,North America,1,Official careers page,international_startup_careers_import_net_new_500plus.csv,excluded if normalized company_name/company_key/domain/company_careers_url/sample_source_urls matched uploaded compact list,island,https://island.io/careers,duplicate_existing_seed_csv
QuantumScape,quantumscape,quantumscape.com,https://www.quantumscape.com/careers,company-site,DISCOVERED,1,0,0,company-site,COMPANY_HTML,0,0,0,,true,https://www.quantumscape.com/careers,North America,1,Official careers page,international_startup_careers_import_net_new_500plus.csv,excluded if normalized company_name/company_key/domain/company_careers_url/sample_source_urls matched uploaded compact list,quantumscape,https://quantumscape.com/careers,duplicate_existing_seed_csv
