index,company_name,company_key,domain,company_careers_url,detected_ats,discovery_status,source_count,validated_source_count,polled_source_count,connectors,source_types,jobs_created_total,jobs_accepted_total,retained_live_total,last_successful_poll_at,from_csv_seed,sample_source_urls
0,Baboon,baboon,baboon.al,https://baboon.al/careers,company-site,NEEDS_REVIEW,1,0,0,company-site,COMPANY_HTML,0,0,0,,True,https://baboon.al/careers | http://baboon.al | https://github.com/notpeter/crunchbase-data/blob/master/companies.csv
1,Adspired Technologies,adspiredtechnologies,adspired.com,https://adspired.com/careers,company-site,NEEDS_REVIEW,1,0,0,company-site,COMPANY_HTML,0,0,0,,True,https://adspired.com/careers | http://adspired.com | https://github.com/notpeter/crunchbase-data/blob/master/companies.csv
2,AFFiRiS,affiris,affiris.com,https://affiris.com/careers,company-site,NEEDS_REVIEW,1,0,0,company-site,COMPANY_HTML,0,0,0,,True,https://affiris.com/careers | http://www.affiris.com | https://github.com/notpeter/crunchbase-data/blob/master/companies.csv
3,Aim Software,aimsoftware,aimsoftware.com,https://aimsoftware.com/careers,company-site,NEEDS_REVIEW,1,0,0,company-site,COMPANY_HTML,0,0,0,,True,https://aimsoftware.com/careers | http://www.aimsoftware.com/ | https://github.com/notpeter/crunchbase-data/blob/master/companies.csv
4,Anyline,anyline,anyline.io,https://anyline.io/careers,company-site,NEEDS_REVIEW,1,0,0,company-site,COMPANY_HTML,0,0,0,,True,https://anyline.io/careers | http://www.anyline.io/intro | https://github.com/notpeter/crunchbase-data/blob/master/companies.csv
5,Arsanis,arsanis,arsanis.com,https://arsanis.com/careers,company-site,NEEDS_REVIEW,1,0,0,company-site,COMPANY_HTML,0,0,0,,True,https://arsanis.com/careers | http://www.arsanis.com | https://github.com/notpeter/crunchbase-data/blob/master/companies.csv
6,Ayudarum,ayudarum,ayudarum.com,https://ayudarum.com/careers,company-site,NEEDS_REVIEW,1,0,0,company-site,COMPANY_HTML,0,0,0,,True,https://ayudarum.com/careers | http://www.ayudarum.com | https://github.com/notpeter/crunchbase-data/blob/master/companies.csv
7,Big Screen Tools,bigscreentools,bigscreentools.com,https://bigscreentools.com/careers,company-site,NEEDS_REVIEW,1,0,0,company-site,COMPANY_HTML,0,0,0,,True,https://bigscreentools.com/careers | http://www.bigscreentools.com | https://github.com/notpeter/crunchbase-data/blob/master/companies.csv
8,ChatGrape,chatgrape,chatgrape.com,https://chatgrape.com/careers,company-site,NEEDS_REVIEW,1,0,0,company-site,COMPANY_HTML,0,0,0,,True,https://chatgrape.com/careers | http://www.chatgrape.com | https://github.com/notpeter/crunchbase-data/blob/master/companies.csv
9,Coridon,coridon,coridon.com,https://coridon.com/careers,company-site,NEEDS_REVIEW,1,0,0,company-site,COMPANY_HTML,0,0,0,,True,https://coridon.com/careers | http://www.coridon.com | https://github.com/notpeter/crunchbase-data/blob/master/companies.csv
10,cortical.io,corticalio,cortical.io,https://cortical.io/careers,company-site,NEEDS_REVIEW,1,0,0,company-site,COMPANY_HTML,0,0,0,,True,https://cortical.io/careers | http://www.cortical.io | https://github.com/notpeter/crunchbase-data/blob/master/companies.csv
11,Crate.IO,crateio,crate.io,https://crate.io/careers,company-site,NEEDS_REVIEW,1,0,0,company-site,COMPANY_HTML,0,0,0,,True,https://crate.io/careers | https://crate.io | https://github.com/notpeter/crunchbase-data/blob/master/companies.csv
12,CrossCloud,crosscloud,crosscloud.me,https://crosscloud.me/careers,company-site,NEEDS_REVIEW,1,0,0,company-site,COMPANY_HTML,0,0,0,,True,https://crosscloud.me/careers | http://www.crosscloud.me | https://github.com/notpeter/crunchbase-data/blob/master/companies.csv
13,Cyberith,cyberith,cyberith.com,https://cyberith.com/careers,company-site,NEEDS_REVIEW,1,0,0,company-site,COMPANY_HTML,0,0,0,,True,https://cyberith.com/careers | http://www.cyberith.com | https://github.com/notpeter/crunchbase-data/blob/master/companies.csv
14,DaoPay GmbH,daopaygmbh,daopay.com,https://daopay.com/careers,company-site,NEEDS_REVIEW,1,0,0,company-site,COMPANY_HTML,0,0,0,,True,https://daopay.com/careers | http://www.daopay.com | https://github.com/notpeter/crunchbase-data/blob/master/companies.csv
15,Diagnosia,diagnosia,diagnosia.com,https://diagnosia.com/careers,company-site,NEEDS_REVIEW,1,0,0,company-site,COMPANY_HTML,0,0,0,,True,https://diagnosia.com/careers | http://www.diagnosia.com | https://github.com/notpeter/crunchbase-data/blob/master/companies.csv
16,durchblicker.at,durchblickerat,durchblicker.at,https://durchblicker.at/careers,company-site,NEEDS_REVIEW,1,0,0,company-site,COMPANY_HTML,0,0,0,,True,https://durchblicker.at/careers | http://durchblicker.at | https://github.com/notpeter/crunchbase-data/blob/master/companies.csv
17,Emarsys,emarsys,emarsys.com,https://emarsys.com/careers,company-site,NEEDS_REVIEW,1,0,0,company-site,COMPANY_HTML,0,0,0,,True,https://emarsys.com/careers | http://emarsys.com | https://github.com/notpeter/crunchbase-data/blob/master/companies.csv
18,Emerging Tigers,emergingtigers,emergingtigers.com,https://emergingtigers.com/careers,company-site,NEEDS_REVIEW,1,0,0,company-site,COMPANY_HTML,0,0,0,,True,https://emergingtigers.com/careers | http://www.emergingtigers.com | https://github.com/notpeter/crunchbase-data/blob/master/companies.csv
19,Enso Detego GmbH,ensodetegogmbh,detego.com,https://detego.com/careers,company-site,NEEDS_REVIEW,1,0,0,company-site,COMPANY_HTML,0,0,0,,True,https://detego.com/careers | http://www.detego.com | https://github.com/notpeter/crunchbase-data/blob/master/companies.csv
20,Evermede Inc,evermedeinc,evermede.com,https://evermede.com/careers,company-site,NEEDS_REVIEW,1,0,0,company-site,COMPANY_HTML,0,0,0,,True,https://evermede.com/careers | http://www.evermede.com | https://github.com/notpeter/crunchbase-data/blob/master/companies.csv
21,Eversport,eversport,eversport.at,https://eversport.at/careers,company-site,NEEDS_REVIEW,1,0,0,company-site,COMPANY_HTML,0,0,0,,True,https://eversport.at/careers | http://www.eversport.at | https://github.com/notpeter/crunchbase-data/blob/master/companies.csv
22,firstbird,firstbird,firstbird.eu,https://firstbird.eu/careers,company-site,NEEDS_REVIEW,1,0,0,company-site,COMPANY_HTML,0,0,0,,True,https://firstbird.eu/careers | http://www.firstbird.eu | https://github.com/notpeter/crunchbase-data/blob/master/companies.csv
23,Fittrack,fittrack,fittrack.io,https://fittrack.io/careers,company-site,NEEDS_REVIEW,1,0,0,company-site,COMPANY_HTML,0,0,0,,True,https://fittrack.io/careers | http://www.fittrack.io/ | https://github.com/notpeter/crunchbase-data/blob/master/companies.csv
24,Flatout Technologies,flatouttechnologies,flatout-technologies.com,https://flatout-technologies.com/careers,company-site,NEEDS_REVIEW,1,0,0,company-site,COMPANY_HTML,0,0,0,,True,https://flatout-technologies.com/careers | http://www.flatout-technologies.com | https://github.com/notpeter/crunchbase-data/blob/master/companies.csv
25,Flowtap,flowtap,getflowtap.com,https://getflowtap.com/careers,company-site,NEEDS_REVIEW,1,0,0,company-site,COMPANY_HTML,0,0,0,,True,https://getflowtap.com/careers | http://www.getflowtap.com/ | https://github.com/notpeter/crunchbase-data/blob/master/companies.csv
26,FOEX GmbH,foexgmbh,tryfoexnow.com,https://tryfoexnow.com/careers,company-site,NEEDS_REVIEW,1,0,0,company-site,COMPANY_HTML,0,0,0,,True,https://tryfoexnow.com/careers | http://www.tryfoexnow.com/ | https://github.com/notpeter/crunchbase-data/blob/master/companies.csv
27,GAMINSIDE,gaminside,gaminside.com,https://gaminside.com/careers,company-site,NEEDS_REVIEW,1,0,0,company-site,COMPANY_HTML,0,0,0,,True,https://gaminside.com/careers | http://www.gaminside.com | https://github.com/notpeter/crunchbase-data/blob/master/companies.csv
28,Genesant,genesant,genesant.com,https://genesant.com/careers,company-site,NEEDS_REVIEW,1,0,0,company-site,COMPANY_HTML,0,0,0,,True,https://genesant.com/careers | http://www.genesant.com | https://github.com/notpeter/crunchbase-data/blob/master/companies.csv
