company_name,company_domain,careers_url,ats_platform,ats_tenant_or_slug,job_board_url,country_or_region_focus,industry,evidence_url,reason_accepted
HiPeople,hipeople.io,https://jobs.ashbyhq.com/hipeople-official,Ashby,hipeople-official,https://jobs.ashbyhq.com/hipeople-official,Global,HR technology,https://jobs.ashbyhq.com/hipeople-official/3369382e-4f5b-4efd-a0a9-952acff08b93,Direct Ashby board with stable job detail URLs and application flow
skipup,skipup.com,https://jobs.ashbyhq.com/skipup,Ashby,skipup,https://jobs.ashbyhq.com/skipup,Canada,Software,https://jobs.ashbyhq.com/skipup/82895ffa-245c-48b6-b74f-11d161faef57/application,Direct Ashby board with stable job detail URLs and application flow
pod network,podnetwork.io,https://jobs.ashbyhq.com/pod-network,Ashby,pod-network,https://jobs.ashbyhq.com/pod-network,Global,Professional network,https://jobs.ashbyhq.com/pod-network/cf234484-2e8a-4a75-a045-150e08f144bf,Direct Ashby board with stable job detail URLs and application flow
Fincentify,fincentify.com,https://jobs.ashbyhq.com/fincentify,Ashby,fincentify,https://jobs.ashbyhq.com/fincentify,Canada,Fintech,https://jobs.ashbyhq.com/fincentify/3107dd64-885b-4781-9b0f-841f3f706cc8/application,Direct Ashby board with stable job detail URLs and application flow
Optro,optro.ai,https://jobs.ashbyhq.com/optro,Ashby,optro,https://jobs.ashbyhq.com/optro,Canada/US,AI software,https://jobs.ashbyhq.com/optro/5df6489f-aa19-4ea2-b1f0-44bff98bda8e,Direct Ashby board with stable job detail URLs and application flow
Absorb,absorblms.com,https://jobs.ashbyhq.com/absorblms,Ashby,absorblms,https://jobs.ashbyhq.com/absorblms,US/Canada,Learning technology,https://jobs.ashbyhq.com/absorblms/95f5a53c-e5ee-403e-9592-58a0945501da,Direct Ashby board with stable job detail URLs and application flow
Agreena,agreena.com,https://jobs.ashbyhq.com/agreena,Ashby,agreena,https://jobs.ashbyhq.com/agreena,Europe,Climate and agtech,https://jobs.ashbyhq.com/agreena/f40eeb1e-0049-4dd3-b0fd-f2993b19b7f8/application,Direct Ashby board with stable job detail URLs and application flow
Feathery,feathery.io,https://jobs.ashbyhq.com/feathery,Ashby,feathery,https://jobs.ashbyhq.com/feathery,US,Software,https://jobs.ashbyhq.com/feathery/4839178a-ab03-4f5b-9536-7488e105d632,Direct Ashby board with stable job detail URLs and application flow
8090 Solutions Inc,8090.inc,https://jobs.ashbyhq.com/8090%20Solutions%20Inc,Ashby,8090 Solutions Inc,https://jobs.ashbyhq.com/8090%20Solutions%20Inc,US,Industrial software,https://jobs.ashbyhq.com/8090%20Solutions%20Inc/0cd9781c-e158-4b0c-9979-04ead270933a,Direct Ashby board with stable job detail URLs and application flow
Aphex,aphex.co,https://jobs.ashbyhq.com/aphex,Ashby,aphex,https://jobs.ashbyhq.com/aphex,UK/APAC,Construction software,https://jobs.ashbyhq.com/aphex/ddcd6e6d-ded0-4e0b-b455-3e3123b57075,Direct Ashby board with stable job detail URLs and application flow
OpsMill,opsmill.com,https://jobs.ashbyhq.com/opsmill,Ashby,opsmill,https://jobs.ashbyhq.com/opsmill,Europe,Infrastructure software,https://jobs.ashbyhq.com/opsmill/d4b3938f-4da5-4fa9-af6a-b2f12be7bbad,Direct Ashby board with stable job detail URLs and application flow
Fonio,fonio.ai,https://jobs.ashbyhq.com/fonio,Ashby,fonio,https://jobs.ashbyhq.com/fonio,UK,AI software,https://jobs.ashbyhq.com/fonio/6fc3263f-2775-4fb6-8aa7-6188a124f69d,Direct Ashby board with stable job detail URLs and application flow
Binalyze,binalyze.com,https://jobs.ashbyhq.com/binalyze,Ashby,binalyze,https://jobs.ashbyhq.com/binalyze,Europe,Cybersecurity,https://jobs.ashbyhq.com/binalyze/67999dd3-5e56-415c-aeb8-d582bd6c4c75,Direct Ashby board with stable job detail URLs and application flow
Juro,juro.com,https://jobs.ashbyhq.com/juro,Ashby,juro,https://jobs.ashbyhq.com/juro,UK/US,Legal technology,https://jobs.ashbyhq.com/juro/6430ee93-8a14-4023-b1cd-90530f22047d,Direct Ashby board with stable job detail URLs and application flow
Cygnify,cygnify.com,https://jobs.ashbyhq.com/cygnify,Ashby,cygnify,https://jobs.ashbyhq.com/cygnify,Singapore,AI software,https://jobs.ashbyhq.com/cygnify/a6583ccf-2b9c-476a-ab05-b7a36160fddd,Direct Ashby board with stable job detail URLs and application flow
Luminovo,luminovo.com,https://jobs.ashbyhq.com/luminovo,Ashby,luminovo,https://jobs.ashbyhq.com/luminovo,Europe/US,Manufacturing software,https://jobs.ashbyhq.com/luminovo/0a1ba867-a884-4064-97ff-8a63c4536b63,Direct Ashby board with stable job detail URLs and application flow
Seccl,seccl.tech,https://jobs.ashbyhq.com/seccl,Ashby,seccl,https://jobs.ashbyhq.com/seccl,UK,Fintech,https://jobs.ashbyhq.com/seccl/b7580bd5-038f-4e47-85e3-93dd4a4695ff/application,Direct Ashby board with stable job detail URLs and application flow
CrowdRiff,crowdriff.com,https://jobs.lever.co/crowdriff,Lever,crowdriff,https://jobs.lever.co/crowdriff,Global/Canada,Travel marketing software,https://jobs.lever.co/crowdriff/d21c9f8f-2f1e-40aa-8dc1-cda67faf8a95,Lever board exposes job-specific postings with apply flow
TodayTix Group,todaytixgroup.com,https://jobs.lever.co/todaytixgroup,Lever,todaytixgroup,https://jobs.lever.co/todaytixgroup,UK/US,Entertainment technology,https://jobs.lever.co/todaytixgroup/c9503c44-2fd7-490b-aba7-e6592e517639,Lever board exposes job-specific postings with apply flow
The Sales Factory,thesalesfactory.com,https://jobs.lever.co/thesalesfactory,Lever,thesalesfactory,https://jobs.lever.co/thesalesfactory,Canada/US,Sales services,https://jobs.lever.co/thesalesfactory/a6355742-dd2a-483c-8782-af7bc2b99868,Lever board exposes job-specific postings with apply flow
WisdomTree UK,wisdomtree.eu,https://jobs.lever.co/wisdomtree-2,Lever,wisdomtree-2,https://jobs.lever.co/wisdomtree-2,UK/Europe,Asset management,https://jobs.lever.co/wisdomtree-2/10b0f8ee-bf67-48bf-8db0-e7d50bb431ed,Lever board exposes job-specific postings with apply flow
AppZen,appzen.com,https://jobs.lever.co/appzen,Lever,appzen,https://jobs.lever.co/appzen,US/UK,Finance automation software,https://jobs.lever.co/appzen/c622e327-91b3-4b34-989a-c1c615953cc4,Lever board exposes job-specific postings with apply flow
