company_name,company_domain,careers_url,ats_platform,ats_tenant_or_slug,job_board_url,country_or_region_focus,industry,evidence_url,reason_accepted
2U,2u.com,https://boards.greenhouse.io/2u,Greenhouse,2u,https://boards.greenhouse.io/2u,US/Global,Education technology,https://boards.greenhouse.io/2u/jobs/8502697002,Greenhouse board/detail pages expose stable job-specific IDs and application forms
Agenus,agenus.com,https://boards.greenhouse.io/agenus,Greenhouse,agenus,https://boards.greenhouse.io/agenus,US,Biotechnology,https://boards.greenhouse.io/agenus,Greenhouse board exposes job-specific pages with application workflow
ANINE BING,aninebing.com,https://boards.greenhouse.io/aninebing,Greenhouse,aninebing,https://boards.greenhouse.io/aninebing,Global,Fashion retail,https://boards.greenhouse.io/aninebing,Greenhouse board exposes job-specific pages with application workflow
Astro Pak,astropak.com,https://boards.greenhouse.io/astropakllc,Greenhouse,astropakllc,https://boards.greenhouse.io/astropakllc,US,Industrial services,https://boards.greenhouse.io/astropakllc/jobs/4265604009,Greenhouse board exposes job-specific pages with application workflow
Avnos,avnos.com,https://boards.greenhouse.io/avnos,Greenhouse,avnos,https://boards.greenhouse.io/avnos,US,Climate technology,https://boards.greenhouse.io/avnos,Greenhouse board exposes active job-specific pages with application workflow
Baringa,baringa.com,https://boards.greenhouse.io/baringa,Greenhouse,baringa,https://boards.greenhouse.io/baringa,UK/Global,Management consulting,https://boards.greenhouse.io/baringa,Greenhouse board exposes job-specific pages with application workflow
Blinkist,blinkist.com,https://boards.greenhouse.io/blinkslabgmbh,Greenhouse,blinkslabgmbh,https://boards.greenhouse.io/blinkslabgmbh,Germany/Global,Learning software,https://boards.greenhouse.io/blinkslabgmbh,Greenhouse board exposes job-specific pages with application workflow
BRPH,brph.com,https://boards.greenhouse.io/brph,Greenhouse,brph,https://boards.greenhouse.io/brph,US,Architecture and engineering,https://boards.greenhouse.io/brph/jobs/4260397009,Greenhouse board exposes job-specific pages with application workflow
Builderscrack,builderscrack.co.nz,https://job-boards.greenhouse.io/builderscrack,Greenhouse,builderscrack,https://job-boards.greenhouse.io/builderscrack,New Zealand,Home services marketplace,https://job-boards.greenhouse.io/builderscrack,Greenhouse board exposes active job-specific pages with application workflow
Career TEAM,careerteam.com,https://boards.greenhouse.io/careerteam,Greenhouse,careerteam,https://boards.greenhouse.io/careerteam,US,Workforce development technology,https://boards.greenhouse.io/careerteam/jobs/4685458005,Greenhouse board/detail pages expose stable job-specific IDs and application forms
