companyName,connectorName,sourceType,sourceName,status,pollState,cooldownUntil,retainedLiveJobCount,allTimeJobsCreated,recentRuns,recentFailedRuns,recentFetched,recentAccepted,recentCreated,recentDeduped,runtimeMinutes,createdPerMinute,acceptedPerMinute,duplicateRate,failureRate,allTimePollSuccessRate,lastSuccessfulPollAt,lastFailureAt,lastHttpStatus,recommendation
Openai,ashby,ATS,Ashby:openai,DEGRADED,BACKOFF,2026-05-31T19:29:02.259Z,864,220,43,42,4307,4306,0,0,126.756,0,33.971,0,0.977,0.002,2026-05-30T21:24:39.195Z,2026-05-31T18:44:02.259Z,,COOLDOWN_SLOW_LOW_YIELD
Vancouver Coastal Health,icims,ATS,iCIMS:careers-vch,DEGRADED,BACKOFF,2026-05-31T19:28:57.819Z,48,250,33,33,3058,3058,0,0,84.483,0,36.197,0,1,0.001,2026-05-28T22:30:32.858Z,2026-05-31T19:18:57.819Z,,COOLDOWN_SLOW_LOW_YIELD
00104 Equinix LLC,workday,ATS,Workday:equinix.wd1.myworkdayjobs.com|equinix|external,ACTIVE,READY,2026-05-31T20:14:53.770Z,378,436,14,11,1447,1447,0,0,67.686,0,21.378,0,0.786,0.054,2026-05-31T17:14:53.770Z,,200,COOLDOWN_SLOW_LOW_YIELD
Varian Medical Systems,workday,ATS,Workday:onehealthineers.wd3.myworkdayjobs.com|onehealthineers|shsjb,DEGRADED,BACKOFF,2026-06-01T01:00:50.178Z,524,525,15,9,3372,3365,0,0,66.735,0,50.424,0,0.6,0.5,2026-05-31T15:59:27.476Z,2026-05-31T19:00:50.178Z,403,COOLDOWN_SLOW_LOW_YIELD
Tumblr,company-site,COMPANY_JSON,CompanyJson:tumblr,ACTIVE,READY,2026-05-31T22:00:58.834Z,75,91,15,9,440,440,1,0,65.227,0.015,6.746,0,0.6,0.08,2026-05-31T19:00:58.834Z,,200,COOLDOWN_SLOW_LOW_YIELD
Snowflake,ashby,ATS,Ashby:snowflake,DEGRADED,BACKOFF,2026-05-31T20:18:57.842Z,406,364,23,21,2849,2803,1,0,60.225,0.017,46.542,0,0.913,0.045,2026-05-31T03:19:38.506Z,2026-05-31T19:18:57.842Z,,COOLDOWN_SLOW_LOW_YIELD
Crusoe,ashby,ATS,Ashby:crusoe,ACTIVE,BACKOFF,2026-05-31T20:08:52.042Z,323,204,19,13,2285,2285,0,0,58.386,0,39.136,0,0.684,0.048,2026-05-31T14:03:12.466Z,,200,COOLDOWN_SLOW_LOW_YIELD
Prolific Academic Ltd,greenhouse,ATS,Greenhouse:prolificacademicltd,DEGRADED,BACKOFF,2026-05-31T19:48:30.677Z,3223,10,16,11,17980,17980,0,0,57.515,0,312.615,0,0.688,0.056,2026-05-31T03:13:01.115Z,2026-05-31T11:48:30.677Z,,COOLDOWN_SLOW_LOW_YIELD
Lyra Health,lever,ATS,Lever:lyrahealth,ACTIVE,READY,2026-05-31T22:19:44.579Z,418,129,20,16,2591,2591,0,0,57.176,0,45.316,0,0.8,0.012,2026-05-31T19:19:44.579Z,,200,COOLDOWN_SLOW_LOW_YIELD
AccorHotel,smartrecruiters,ATS,SmartRecruiters:accorhotel,DEGRADED,BACKOFF,2026-06-01T04:36:50.244Z,40,32,19,19,29157,260,0,0,56.845,0,4.574,0,1,0.041,2026-05-28T23:03:00.961Z,2026-05-31T16:36:50.244Z,,COOLDOWN_SLOW_LOW_YIELD
